id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
ATNHPIUS23844Q,2024-09-18,2024-09-18,"All-Transactions House Price Index for Gary, IN (MSAD)",1978-07-01,2024-04-01,Quarterly,Q,Index 1995:Q1=100,Index 1995 Q1=100,Not Seasonally Adjusted,NSA,2024-08-27 09:03:49-05:00,4,Estimated using sales prices and appraisal data. Metropolitan Division refers to a county or group of counties within a Metropolitan Statistical Area that has a population core of at least 2.5 million.
SMS18238440000000001,2024-09-18,2024-09-18,"All Employees: Total Nonfarm in Gary, IN (MD)",1990-01-01,2024-07-01,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2024-08-17 05:23:12-05:00,1,This series is seasonally adjusted by the U.S. Bureau of Labor Statistics.
SMS18238440000000026,2024-09-18,2024-09-18,"All Employees: Total Nonfarm in Gary, IN (MD)",1990-04-01,2024-07-01,Monthly,M,"3-Month Average Change, Thousands of Persons","3-month Average Chg., Thous. of Persons",Seasonally Adjusted,SA,2024-08-17 05:23:12-05:00,1,
SMU18238440000000001,2024-09-18,2024-09-18,"All Employees: Total Nonfarm in Gary, IN (MD)",1990-01-01,2024-07-01,Monthly,M,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2024-08-17 05:19:36-05:00,1,
SMU18238440000000001A,2024-09-18,2024-09-18,"All Employees: Total Nonfarm in Gary, IN (MD)",1990-01-01,2023-01-01,Annual,A,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2024-03-13 05:18:09-05:00,1,
SMU18238440500000001,2024-09-18,2024-09-18,"All Employees: Total Private in Gary, IN (MD)",1990-01-01,2024-07-01,Monthly,M,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2024-08-17 04:16:14-05:00,2,
SMU18238440500000001A,2024-09-18,2024-09-18,"All Employees: Total Private in Gary, IN (MD)",1990-01-01,2023-01-01,Annual,A,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2024-03-13 05:18:09-05:00,1,
SMU18238440500000001SA,2024-09-18,2024-09-18,"All Employees: Total Private in Gary, IN (MD)",1990-01-01,2024-07-01,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2024-08-17 06:50:26-05:00,0,"The Federal Reserve Bank of St. Louis seasonally adjusts this series by using the 'statsmodels' library from Python with default parameter settings. The package uses the U.S. Bureau of the Census X-13ARIMA-SEATS Seasonal Adjustment Program. More information on the 'statsmodels' X-13ARIMA-SEATS package can be found here (https://www.statsmodels.org/dev/generated/statsmodels.tsa.x13.x13_arima_analysis.html). More information on X-13ARIMA-SEATS can be found here (https://www.census.gov/data/software/x13as.html).  Many series include both seasonally adjusted (SA) and not seasonally adjusted (NSA) data. Occasionally, updates to the data will not include sufficient seasonal factors to trigger a seasonal adjustment. In these cases, the NSA series will be updated normally; but the SA series will also be updated with the NSA data. The NSA series can be located here here (https://fred.stlouisfed.org/series/SMU18238440500000001).  Some seasonally adjusted series may exhibit negative values because they are created from a seasonal adjustment process regardless of the actual meaning or interpretation of the given indicator."
SMU18238440500000002,2024-09-18,2024-09-18,"Average Weekly Hours of All Employees: Total Private in Gary, IN (MD)",2007-01-01,2024-07-01,Monthly,M,Hours per Week,Hours per Week,Not Seasonally Adjusted,NSA,2024-08-17 04:16:14-05:00,1,
SMU18238440500000002A,2024-09-18,2024-09-18,"Average Weekly Hours of All Employees: Total Private in Gary, IN (MD)",2007-01-01,2023-01-01,Annual,A,Hours per Week,Hours per Week,Not Seasonally Adjusted,NSA,2024-03-13 05:13:10-05:00,2,
